YR,MON,NINO1+2
1975,11,19.41
1975,12,20.93
1976,1,23.45
1976,2,25.46
1976,3,25.96
1976,4,25.7
1976,5,25.12
1976,6,24.5
1976,7,23.57
1976,8,22.26
1976,9,21.55
1976,10,21.52
1976,11,22.15
1976,12,23.2
1977,1,24.8
1977,2,25.72
1977,3,26.02
1977,4,24.95
1977,5,23.49
1977,6,22.52
1977,7,21.46
1977,8,20.1
1977,9,19.61
1977,10,20.54
1977,11,21.19
1977,12,22.26
1978,1,24.15
1978,2,25.7
1978,3,25.28
1978,4,24.76
1978,5,23.17
1978,6,21.94
1978,7,21.02
1978,8,19.63
1978,9,19.84
1978,10,20.06
1978,11,21.61
1978,12,22.9
1979,1,24.72
1979,2,25.52
1979,3,25.91
1979,4,25.69
1979,5,24.29
1979,6,23.28
1979,7,21.7
1979,8,20.94
1979,9,21.15
1979,10,21.46
1979,11,21.8
1979,12,22.73
1980,1,24.32
1980,2,25.68
1980,3,26.48
1980,4,25.54
1980,5,23.98
1980,6,22.76
1980,7,21.12
1980,8,20.52
1980,9,20.43
1980,10,20.52
1980,11,21.24
1980,12,22.41
1981,1,23.06
1981,2,24.93
1981,3,25.94
1981,4,24.81
1981,5,23.65
1981,6,22.49
1981,7,21.07
1981,8,19.88
1981,9,19.93
1981,10,20.44
1981,11,21.19
1981,12,22.63
1982,1,24.3
1982,2,25.31
1982,3,25.2
1982,4,24.73
1982,5,24.11
1982,6,23.25
1982,7,22.43
1982,8,21.81
1982,9,22.03
1982,10,22.83
1982,11,24.68
1982,12,25.97
1983,1,27.21
1983,2,28.13
1983,3,28.72
1983,4,28.86
1983,5,28.26
1983,6,27.36
1983,7,25.76
1983,8,23.93
1983,9,22.1
1983,10,22
1983,11,22.05
1983,12,23.03
1984,1,24.18
1984,2,25.22
1984,3,25.62
1984,4,25.3
1984,5,23.3
1984,6,22.18
1984,7,21.33
1984,8,20.45
1984,9,20.66
1984,10,20.51
1984,11,21.52
1984,12,22.41
1985,1,23.79
1985,2,24.72
1985,3,25.6
1985,4,24.16
1985,5,22.53
1985,6,21.85
1985,7,20.56
1985,8,19.78
1985,9,19.74
1985,10,20.1
1985,11,20.86
1985,12,22.43
1986,1,24.56
1986,2,26
1986,3,25.76
1986,4,24.68
1986,5,23.23
1986,6,22.05
1986,7,21.47
1986,8,20.91
1986,9,20.91
1986,10,21.27
1986,11,22.01
1986,12,23.41
1987,1,25.56
1987,2,27.07
1987,3,27.93
1987,4,27.1
1987,5,25.93
1987,6,24.1
1987,7,22.98
1987,8,21.82
1987,9,21.83
1987,10,22.47
1987,11,22.8
1987,12,23.48
1988,1,24.59
1988,2,25.79
1988,3,25.68
1988,4,24.7
1988,5,23.15
1988,6,21.46
1988,7,20.59
1988,8,19.55
1988,9,19.44
1988,10,19.81
1988,11,20.7
1988,12,22.06
1989,1,24.27
1989,2,26.04
1989,3,26.34
1989,4,25.45
1989,5,23.21
1989,6,22.04
1989,7,21.17
1989,8,20.71
1989,9,20.07
1989,10,20.54
1989,11,21.41
1989,12,22.41
1990,1,24.09
1990,2,25.94
1990,3,26.04
1990,4,25.02
1990,5,24.18
1990,6,22.83
1990,7,21.3
1990,8,20.57
1990,9,20.24
1990,10,20.31
1990,11,21
1990,12,22.31
1991,1,24.02
1991,2,25.72
1991,3,26.28
1991,4,25.24
1991,5,24.09
1991,6,23.33
1991,7,22.56
1991,8,21.37
1991,9,21.19
1991,10,21.67
1991,11,22.38
1991,12,23.64
1992,1,25.03
1992,2,26.71
1992,3,27.73
1992,4,27.72
1992,5,26.63
1992,6,23.98
1992,7,21.89
1992,8,20.87
1992,9,20.76
1992,10,21.02
1992,11,21.59
1992,12,22.71
1993,1,24.55
1993,2,26.4
1993,3,27.09
1993,4,26.79
1993,5,25.57
1993,6,24.16
1993,7,22.66
1993,8,21.57
1993,9,21.11
1993,10,21.57
1993,11,21.96
1993,12,22.83
1994,1,24.47
1994,2,25.77
1994,3,25.48
1994,4,24.27
1994,5,23.36
1994,6,22.21
1994,7,21.09
1994,8,19.98
1994,9,20.58
1994,10,21.81
1994,11,22.26
1994,12,23.67
1995,1,25.3
1995,2,26.2
1995,3,26
1995,4,23.99
1995,5,23
1995,6,22.2
1995,7,21.35
1995,8,20.6
1995,9,20.44
1995,10,20.46
1995,11,21.37
1995,12,21.96
1996,1,23.92
1996,2,25.66
1996,3,26.16
1996,4,23.62
1996,5,22.97
1996,6,21.24
1996,7,20.7
1996,8,20.14
1996,9,20.08
1996,10,20.31
1996,11,20.56
1996,12,21.68
1997,1,23.66
1997,2,25.88
1997,3,27.03
1997,4,26.44
1997,5,26.54
1997,6,26.12
1997,7,25.59
1997,8,24.96
1997,9,24.69
1997,10,24.69
1997,11,26.12
1997,12,27.06
1998,1,28.12
1998,2,28.74
1998,3,29.23
1998,4,28.22
1998,5,27.14
1998,6,25.36
1998,7,23.37
1998,8,21.97
1998,9,20.95
1998,10,21.35
1998,11,21.51
1998,12,22.63
1999,1,23.79
1999,2,25.56
1999,3,26.45
1999,4,24.64
1999,5,23.73
1999,6,22.36
1999,7,21.73
1999,8,20.89
1999,9,19.67
1999,10,20.15
1999,11,20.43
1999,12,22.17
2000,1,23.81
2000,2,25.48
2000,3,26.02
2000,4,25.5
2000,5,24.02
2000,6,22.75
2000,7,21.68
2000,8,20.44
2000,9,20.5
2000,10,20.74
2000,11,20.46
2000,12,21.85
2001,1,23.94
2001,2,25.62
2001,3,26.66
2001,4,25.72
2001,5,23.71
2001,6,22.28
2001,7,21.38
2001,8,20.16
2001,9,19.6
2001,10,19.88
2001,11,20.77
2001,12,21.79
2002,1,23.79
2002,2,26.03
2002,3,27.25
2002,4,26.35
2002,5,25.04
2002,6,23.51
2002,7,21.72
2002,8,20.74
2002,9,20.93
2002,10,21.39
2002,11,22.63
2002,12,23.91
2003,1,24.69
2003,2,25.98
2003,3,26.42
2003,4,24.98
2003,5,22.77
2003,6,21.77
2003,7,20.95
2003,8,21.02
2003,9,20.28
2003,10,21.25
2003,11,21.94
2003,12,23.03
2004,1,24.36
